name_a,name_b
pN, piconewton
PNAC, Project for the New American Century
PNF, Pilot Not Flying (aviation)
PNS," Pensacola, Florida (IATA airport code)"
PNVS, Pilot Night Vision Sensor
Po, Polonium
PO, Post Office
PO, Purchase Order
POCD, Post-Operative Cognitive Dysfunction
pod, Plain Old Documentation
POE, Perl Object Environment - (b) Port Of Embarkation (c) Polyol Ester (d) Power Over Ethernet
POETS," Portable Occultation, Eclipse, and Transit electronic-camera System"
POFF, Plain Old Flat File
POG," Passionfruit, Orange and Guava"
POGO, Project On Government Oversight
POI, Program Of Instruction
POK,(a/i) Plane Of Knowledge
pol, Polish language (ISO 639-2 code)
POLAD, Political Advice
POMDP, Partially observable Markov decision process
por, Portuguese language (ISO 639-2 code)
POSH, Port Outbound Starboard Home (alleged)
POSSLQ,Person of the Opposite Sex Sharing Living Quarters
POT,(a/i) Plane Of Tranquility
POV, Point of view
POW, Prisoner of war
PPASC, (U.S.) Plans and Program Analysis Support Center
PPASSCCATAG," ""Proud Parents Against Singles, Seniors, Childless Couples And Teens And Gays"", a fictional group formed by Marge Simpson"
PPCLI, Princess Patricia's Canadian Light Infantry (regiment)
PPLI, Precise Participant Location & Identification
ppm, Parts Per Million
PPM, Parts Per Million
PPM, Project Planning and Management
PPO, PolyPhenylene Oxide
PPQ," Pulses Per Quarter (used in music programming, sequencers)"
PPQN, Pulses Per Quarter Note (ditto)
PPQT, Pre-Production Qualification Test
PPV, Pay-per-view
Pr, Pastor or Priest
Pr, Praseodymium
Prb, Presbyter
PRBO, Point Reyes Bird Observatory
PRC, People's Republic of China
PRD, CERDEC Product Realization Directorate
PRFG, Partial Fog (METAR Code)
PRI, Puerto Rico (ISO 3166 trigram)
PRK, Democratic People's Republic of Korea (ISO 3166 trigram)
PRM, Personnel iness Management
PRN," pro re nata (Latin, ""for the emergency"", ""as needed"")"
PRY, Paraguay (ISO 3166 trigram)
pS, picosiemens
Ps, petasecond
PooS,Poo Sniffer (Internet shorthand)
PSE," Palestinian Territory, Occupied (ISO 3166 trigram)"
PSG, Pacific Seabird Group
PSI, Pounds per square inch
PSI,(a/i) Portable Source Initiative
PSS, Personnel System Support
PST, Pacific Standard Time (UTC-8 hours)
PSU, Pennsylvania State University
PsyOp, Psychological Operations
pt, Portuguese language (ISO 639-1 code)
pT, picotesla
Pt, Platinum
PT, petatesla -  Physical Training (in the Army) -  Portugal (ISO 3166 digram)
PTA, Parent-Teacher Association
PTAL, Public Transport Accessibility Level
PTES, People's Trust for Endangered Species
PTFE, PolyTetraFluoroEthylene
PTI, Pardon the Interruption
PTL, Patrol -  Primary Target Line
PTO, Patent and Trademark Office - Please Turn Over
PTSD, Post-Traumatic Stress Disorder
PTUI,"(a/i) Plain-Text User Interface (""pa-too-ey"") (cf CLI)"
Pu, Plutonium
Pub, Publication
PUG,(a/i) PET Users Group
PUN,(a/i) Pull-Up Network
PUP,(a/i) Pull-Up Point
PUR," Puerto Rico (IOC and FIFA trigram, but not ISO 3166)"
pus, Pashto language (ISO 639-2 code)
PUS, United States Miscellaneous Pacific Islands (ISO 3166 trigram; obsolete 1986)
pV, picovolt
PV, petavolt
PVC, Permanent Virtual Circuit - PolyVinyl Chloride - Premature Ventricular Contraction - Primary Visual Cortex
PvE, Player versus Environment
PvP, Player versus Player
PVR, Personal Video Recorder
PvZ, Plants vs. Zombies
pW, picowatt
PWA, Pirates With Attitude
PWBA, Pension and Welfare Benefits Administration
PwC, PricewaterhouseCoopers (international accounting firm)
PWC, PieceWise Constant (describing a mathematical function)
PWL, PieceWise Linear (describing a mathematical function)
PWLC, PieceWise Linear and Concave/Convex (describing a mathematical function)
PWP," Plot, What Plot? / Porn Without Plot (denotes plotless, um, ""feel-good"" stories in online fiction, especially fanfic or erotic fiction)"
PWR, Pressurized Water Reactor
PWV," Pretoria-Witwatersrand-Vereeniging, the original name for the South African province now known as Gauteng, and still used to refer to the metropolitan agglomeration at the core of the province"
PX, Post eXchange
PY, Paraguay (ISO 3166 digram) - Person-Year -  Portsmouth yardstick
PYF, French Polynesia (ISO 3166 trigram)
PYG, Paraguayan guaraní (ISO 4217 currency code)
PYMWYMI, Put Your Money Where Your Mouth Is
PZ, Panama Canal Zone (ISO 3166 digram; obsolete 1980) -  Pickup Zone
Q1, First Quarter
Q2, Second Quarter
Q3, Third Quarter
Q4, Fourth Quarter
QA, Qatar (FIPS 10-4 country code; ISO 3166 digram)
Qantas, Queensland And Northern Territory Aerial Services
QAP," Quadripartite Advisory Publication (""kwapp"")"
QAR, Qatari rial (ISO 4217 currency code)
QAT, Qatar (ISO 3166 trigram)
QB, Quarterback (football)
QC, Quality Control -  Québec (postal symbol) -  Queen's Counsel
QCA, Qualifications and Curriculum Authority - Quality Council of Alberta
QCD, Quantum ChromoDynamics
QD," quaque die (Latin, ""daily"")"
QDOS," Quick and Dirty Operating System (""cue-doss"")"
QDR, Quadrennial Defense Review
QDRO," Qualified domestic relations order (""quad-ro"")"
QED," quantum electrodynamics -  quid es demonstrata or quod erat demonstrandum (Latin, ""that proves it"" or ""which was to be demonstrated"")"
QEH, Queen Elizabeth's Hospital
QFE, Quoted For Emphasis -  Local ground level atmospheric pressure (aeronautical Q code)
QID," quater in die (Latin, ""four times daily"")"
QIP," Quadrilateral Interoperability Programme (ancestor of MIP; ""quip"")"
QK, Air Canada Jazz (IATA airline designator)
QLD," Queensland, (Australia) (postal symbol)"
QM, Quality Management - Quantum Mechanics - Queen Mother
QNH, Regional mean sea level atmospheric pressure (aeronautical Q code)
QPR, Queens Park Rangers F.C. (English football team) -  Quality-Price Ratio (wine evaluation term)
QPS, Quark Publishing System
QR, Quake Rally - Qualitative Reasoning - Queensland Rail - Queen's Rangers - Quick Release - Quiet Riot -  Qatar Airways (IATA airline designator)
QS," quantum sufficit (Latin, ""as much as suffices"")"
QSCAT, Quick Scatterometer satellite
QSL, Québec Sign Language
QSO, Quasi-Stellar Object
QSTAG," Quadripartite Standardization Agreement (""cue-stag"")"
QT, Quentin Tarantino - QuickTime - QuikTrip - QT (cute) Software
qu, Quechua language (ISO 639-1 code)
Quango, (British Commonwealth) QUasi Autonomous Non-Governmental Organisation
Quasar, Quasi-stellar radio source
QUB,Queen's University Belfast
que, Quechua language (ISO 639-2 code)
QUIET, Q and U Imaging ExperimenT (Q and U are the Stokes parameters of the CMBR polarization)
qv," quod vide (Latin ""which see"")"
QVC," ""Quality, Value, Convenience"" (home shopping channel)"
QWG," Quadripartite Working Group (""qwig"")"
QWGAOR," Quadripartite Working Group on Army Operational Research (""qwig-a-o-r"")"
QZ, Awair (IATA airline designator)
R, Reinforcing - Right -  Röntgen -  Restricted (movie rating)
R2I, Resistance to Interrogation
R3P," Rearm, Refuel, and Resupply Point"
Ra, Radium
RA, Radio Australia
RA, Rain (METAR Code) -  Rear Area - Reinforced Alert - Republican Army - Right Ascension - Royal Artillery (UK) - Royal Academy
RAA, Royal Automobile Association - South Australia -  Rear Assembly Area
RAAF, Royal Australian Air Force
Rabobank, Raiffeisen-Boerenleenbank (from the two banks that merged to form the modern company)
RAC," Royal Automobile Club (in the United Kingdom, renamed RAC plc in 2002)"
RACK, Risk Aware Consensual Kink (SM phrase)
Racon, RAdar beaCON
RADA, Royal Academy of Dramatic Art
Radar, Radio Detection And Ranging
RADB, Real America Database - Resource Assessment Database - Reunion Address DataBase - Rice Allelopathy Data Base - Routing Arbiter Database
RADb, Routing Assets Data Base
RadB, Rad51/Dmc1 homologous protein
RADC, Region Air Defence Commander
RAE, UK Royal Aircraft Establishment (-1991)
RAF, Red Army Faction - Royal Air Force
RAG, Raising and Giving - Rocket Antitank Grenade
RAGBRAI, Register's Annual Great Bicycle Ride Across Iowa
RAM, Random Access Memory - Rolling Airframe Missile - Royal Air Maroc
Ramark, RAdar MARKer
RAOC, Rear Area Operation Centre
RAP,(a/i) Radio Access Point - Radiological Assistance Program (U.S. Department of Energy) - Rear Area Protection - Recognised [Operating/Operational] Air Picture - Recurring Advance Payment - Relational Associative Processor - Reliable Acoustic Path - Rocket-Assisted Projectile - Rule Against Perpetuities
RARDE, UK Royal Armament Research and Development Establishment (1962-1991)
RARE, Rapid Acquisition with Relaxation Enhancement (MRI technique)
RASC, Royal Army Service Corp - Former corps of British Army
RATELO, Radiotelephone Operator
Rb, Rubidium
RB, Running Back (football)
RBAR," Row By Agonizing Row - a derogatory way of describing a technique of scanning a set of records in a database to update or examine the contents of each one. This is the technique of last resort in most cases, since most database operations are optimized when using set based analysis instead of the RBAR method."
RBCI, Radio Based Combat Identification
RBI, Runs Batted In
RBOC,"(a/i) Regional Bell Operating Company (""Baby Bell"")"
RC,see entry
RCAF, Royal Canadian Air Force
RCAR," Research Council for Automobile Repairs (""are-car"")"
RCC, Rescue Co-ordination Centre
RCCO, Royal Canadian College of Organists
RCHA, Royal Canadian Horse Artillery (regiment)
RCMP, Royal Canadian Mounted Police
RCRA," Resource Conservation and Recovery Act (""reck-ra"" or ""rick-ra"")"
RCZ, Rear Combat Zone
RD,Radio Disney
RDD, Radiological Dispersion Device
RDDL,"(a/i) Resource Directory Description Language (""riddle"")"
RDECOM," (U.S. Army) Research, Development and Engineering Command"
RDM, Remotely Delivered/Deliverable Mine
RDT, Remote Digital Terminal
RDV, Remote Detection Vehicle
Re, Rhenium
RE, Royal Engineers
REACH," Registration, Evaluation, Authorisation and Restriction of Chemical Substances"
REACT, Remote Electronically Activated Control Technology
REAM, Retired Educators Association of Minnesota
RECCE, Reconnaissance
REEF, Reef Environmental Education Foundation
REM,(i/a) Rapid Eye Movement (sleep phase) - Rosicrucian Egyptian Museum
REME, Royal Electrical and Mechanical Engineers
RERC, Rehabilitation Engineering Research Center
RES, Radiation Exposure Status -  Reserve
RESNA, Rehabilitation Engineering and Assistive Technology Society of North America
REU, Réunion (ISO 3166 trigram)
Rf, Rutherfordium
RF, Radio Frequency - Receptive Field (neurophysiology)
RFA, Restrictive Fire Area (military) - Royal Field Artillery
RFC, Request for Comments - Royal Flying Corps (WWI precursor to RAF)
RFD, Request for Documentation
RFE, Request for Evaluation
RFEF, Real Federación Española de Fútbol (Spanish for Royal Spanish Football Federation)
RFF, Right of First Refusal (legal term)
RFI, y For Inspection - y For Issue - Request For Information - Radio Frequency Interference
RFID, Radio Frequency IDentification
RFL, Rugby Football League
RFL, Restrictive Fire Line (military)
RFP, Request for Proposal
RFQ, Request for Quotation
RFT, Request for Tender
RFU, Rugby Football Union
Rg, Roentgenium
RG, Republican Guard
RGB, Red Green Blue (colour model)
RGBI, Red Green Blue Intensity (ditto)
Rh, Rhodium
RH, Southern Rhodesia (ISO 3166 digram; obsolete 1980)
RHIC, Relativistic Heavy Ion Collider
RHLI, Royal Hamilton Light Infantry (Canadian militia regiment)
RHO, Southern Rhodesia (ISO 3166 trigram; obsolete 1980)
RHS, Right Hand Side - Redland High School -  Royal Horticultural Society - London
RHU, Replacement Holding Unit
RHWR," Radar Homing and Warning Receiver (""raw"" for short)"
RI," Rex et Imperator, Regina et Imperatrix King-Emperor"
RI, Rhode Island (postal symbol)
RIAA, Recording Industry Association of America
RIBA, Royal Institute of British Architects
RIFA, Red imported fire ant
RILA, Retail Industry Leaders Association
RIMVS, Retinal Imaging Machine Vision System
RINO, Republican In Name Only[1]
RISC, Reduced Instruction Set Computer
RISD," Rhode Island School of Design (""riz-dee"")"
RISTA," Reconnaissance, Intelligence, Surveillance, and Target Acquisition (see also ISTAR)"
RWH, Rain Water Harvesting
RJD, Reduced Julian Day
RKBA,Right to Keep and Bear Arms (Second Amendment to the United States Constitution)
RKI," Robert Koch Institute, German governmental research institute in Berlin"
RKO, Radio-Keith-Orpheum Pictures
RL, Release Line - Real Life
RLP, Recognised [Operating/Operational] Land Picture
RLS, Restless Leg Syndrome
RLY, Rally Point
RM,see separate disambiguation page
rm, Raeto-Romansh language (ISO 639-1 code)
RMA, Return Mailing Authorization - Revolution in Military Affairs - Rachel McAdams
RMC, Robert Menzies College
RMC,"(ii) Royal Military College (Australia, Canada, UK)"
RMDA, Records Management and Declassification Agency
RMP, Recognised [Operating/Operational] Maritime Picture
RMS, Rate-Monotonic Scheduling - Richard M. Stallman - Root-Mean-Square - Royal Mail Ship (e.g. RMS Titanic)
rn, Rundi language (Kirundi) (ISO 639-1 code)
Rn, Radon
RN, Radio Netherlands
RN, Royal Navy - Registered Nurse (US)
RNA, RiboNucleic Acid
RNAD,Royal Naval Armaments Depot (UK)
RNPS, Radio Network Planning System
RNZ, Radio New Zealand
RNZI, Radio New Zealand International
ro, Romanian language (ISO 639-1 code)
RO, Range Only - Red Orchestra -  Romania (ISO 3166 and FIPS 10-4 country code digram)
ROA,(a/i) Rate Of Ascent
ROC,(i/a) Receiver Operating Characteristic (statistics) - Regional Operations Centre - Republic Of China - Roc-A-Fella Records - Regional Organisations of Councils
ROD,(a/i) Rate Of Descent - Record Of Decisions - Report Of Discrepancy
ROE, Rules Of Engagement
roh, Raeto-Romansh language (ISO 639-2 code)
ROH, Ring of Honor
ROI," Return On Investment, Republic of Ireland."
ROFLOL, Rolling On the Floor Laughing Out Loud
ROK,(a/i) Republic of Korea
ROL, Romanian leu (ISO 4217 currency code)
ROM, -Only Memory - Refuel On the Move - Royal Ontario Museum
ron, Romanian language (ISO 639-2 code)
RON, Romanian new leu (ISO 4217 currency code)
ROP, Render Output Pipeline
ROPE,Research Opportunity and Performance Evidence
ROS, Reactive Oxygen Species
ROTC," Reserve Officer Training Corps (""Rawt-Cee"")"
ROU, Romania (ISO 3166 trigram)
ROV, Remotely Operated Vehicle
ROW, Right Of Way - Rest Of the World
ROWPU," Reverse Osmosis Water Purification Unit (""roe-pew"")"
ROZ,(a/i) Restricted Operations Zone
RPA, Regional Plan Association
RPD, Recognition-Primed Decision-making
RPF, Rwandan Patriotic Front
RPL, Reverse Polish Lisp
rpm, revolutions per minute
RPN, reverse Polish notation
"RPO- Radiation Protection Officer, Regular Production Option,RPR-FOM","(i/a) Realtime Platform Reference Federation Object Model (""reaper fomm"")"
rps, revolutions per second
RPV, Remotely Piloted Vehicle
RQ, Puerto Rico (FIPS 10-4 territory code)
RRB, Railroad Retirement Board
RRN, Recurrence Rate Number
RRP, Recurrent Respiratory Papillomatosis
RRS, Racing Rules of Sailing
RRSP, Registered Retirement Savings Plan (Canada; roughly equivalent to the IRA in the U.S.)
RS, Russia (FIPS 10-4 country code)
RSEQ," Réseau du sport étudiant du Québec (French, ""Quebec Student Sports Network"")"
RSI, Repetitive Strain Injury
RSJ, Rolled Steel Joist (construction)
RSN, Real Soon Now (coined by author Jerry Pournelle)
RSPB, (UK) Royal Society for the Protection of Birds
RSPCA, Royal Society for the Prevention of Cruelty to Animals
RSR, Required Supply Rate
RSRE, UK Royal Signals and Radar Establishment (1976-1991)
RSRI, Red Sands Research Institute
RSS, Really Simple Syndication
RSTA," Reconnaissance, Surveillance, and Target Acquisition"
RSVP," répondez s'il vous plaît (French for ""respond if you please"")"
RT, Real Time - Radio Telephone -  Return to duty
RTA, Road traffic accident (British)
RTBF, Radio-Télévision belge de la Communauté française
RTCA," RTCA, Inc."
RTF, Rich Text Format
RTFM,  the Fucking/Fine Manual
RTG, Radio-isotope Thermoelectric Generator also used for Rubber Tyred Gantry crane
RTGS, Royal Thai General System of Transcription - Real Time Gross Settlement
RTI, Run-Time Infrastructure (Simulation)
RTL,see entry
RTLS," Return to Launch Site - period in NASA Space Shuttle assent profile where, during assent, shuttle aborts assent and turns and glides back to landing strip at launch site"
RTP, Real-time Transport Protocol
RTS,see entry
RTT, Round Trip Timing
RTV, Rapid Terrain Visualization ACTD - Retro Television Network
ru, Russian language (ISO 639-1 code)
Ru, Ruthenium
RU, Russia (ISO 3166 digram)
RUB, Russian ruble (ISO 4217 currency code)
RUC, Royal Ulster Constabulary
run, Rundi language (Kirundi) (ISO 639-2 code)
rus, Russian language (ISO 639-2 code)
RUS, Russia (ISO 3166 trigram)
RUSI, Royal United Services Institute for Defence Studies
rw, Rwanda language (Kinyarwanda) (ISO 639-1 code)
RW, Rwanda (ISO 3166 and FIPS 10-4 country code digram)
RWA, Rwanda (ISO 3166 trigram)
RWADA," Resident Weighted Average Daily Attendance (New York State term used in public education to indicate the size of a school district, i.e. its number of students)"
RWF, Rwandan franc (ISO 4217 currency code)
RWR, Radar Warning Receiver
RWS, Remote Weapon Station
Rx," Medical prescription (possibly from Latin ""recipere"", ""to take"": see entry)"
RX, Receive
"SA- Sand (METAR Code),Saudi Arabia (ISO 3166 and FIPS 10-4 country code digram), Sexaholics Anonymous, sine anno (Latin, “without year”),Situational awareness,South Africa,(i/s) South Australia (postal symbol), Standards Australia,Sturmabteilung (German, “Storm Detachment”, Nazi forerunner and rival of SS),S.A.",designation for a corporation in many European countries; see article for meanings
Sambo,"(p/a) Samooborona bez oruzhiya (Russian: ""Самооборона без оружия"", literally ""self-defense without weapons"")"
SBNO, Standing but not operating (in reference to amusement parks)
"SDC- Shaft Driven Compressor,U.S. Army Strategic Defense Command (1985-1992),SDG —  Sudanese pound (ISO 4217 currency code),SDG —  Sum Dum Goy","greasy spoon chinese restaurant,SDH —  Synchronous Digital Hierarchy"
SDHC, Secure Digital High Capacity
SDXC, Secure Digital eXtended Capacity
SHO, Showtime (see also sho.com)
"SIIT- Saskatchewan Indian Institute of Technologies (Canadian university),Sirindhorn International Institute of Technology (Thai university),Stateless IP/ICMP Translation algorithm,SIMAC —  Semantic Interaction with Music Audio Contents,SIMLAS —  Soldier Integrated Multipurpose Laser System,SIMM —  Single In-line Memory Module,SIMNET —  SIMulator NETwork, later SIMulation NETwork,SIMNET-D"," SIMNET-Developmental,SIMP —  Strongly Interacting Massive Particle"
Siri, Speech Interpretation and Recognition Interface (Apple iOS software)
SIRI, Service Interface for Real Time Information
SoCon, Southern Conference (U.S. college sports)
STB,Surface Transportation Board[2]
T, Tera - Tesla - Tritium
ta, Tamil language (ISO 639-1 code)
Ta, Tantalum
TA, Target Acquisition - Teaching Assistant -  Tera-ampere -  Territorial Army (UK) -  Tristan da Cunha (ISO 3166 digram)
TAA, Transparency Anti-Aliasing -  Trans Australia Airlines
TAACOM, U.S. Theater Army Area Command
TAADCOORD, Theatre Army Air Defence Co-ordinator
TAAR, Trace Amine-Associated Receptor
TAC, U.S. Tactical Air Command (1946-1992)
TACAMO, Take Charge and Move Out (U.S. military)
TACAN, Tactical Air Navigation
TACC, Tactical Air Control Centre - (USAF) Tanker Airlift Control Center
TACCO, Tactical Coordinator
TACCSF, U.S. Theater Aerospace Command & Control Simulation Facility
TACDAR, Tactical Detection And Reporting
TACP, Tactical Air Control Party - Technology Applications Certification Program
TACSOP, Tactical SOP (Standing Operating Procedure)
TADIL, Tactical Digital Information Link
TADL," Tactical Air Data Link (""taddle"")"
TADSS," Training Aids, Devices, Simulators, and Simulations"
tah, Tahitian language (ISO 639-2 code)
TAI, Target[ed] Area of Interest
TAJ, Tom and Jerry
TAJT, Tom and Jerry Tales
TALES, Technical Advice and Lexicon for Enabling Simulation
tam, Tamil language (ISO 639-2 code)
TAN," Tanzania (IOC and FIFA trigram, but not ISO 3166)"
TANJ, There Ain't No Justice (used as expletive in the Ringworld novels)
TANP, Terrain-Aware Network Planner
TANSTAAFL, There Ain't No Such Thing As A Free Lunch (coined by author Robert A. Heinlein in his The Moon Is a Harsh Mistress)
TAPPS, Texas Association of Private and Parochial Schools
TARDIS, Time And Relative Dimension In Space (from Doctor Who)
TARP," Transparency Accountability Rights for Parents (coined by Karen Plumridge, founder of Black Ribbon Gold Heart)"
TAROT," Télescope à action rapide pour les objets transitoires (French, ""Transient Object Rapid Action Telescope"")"
TAS,Tasmania (postal symbol)
TASER, Thomas A. Swift's Electric Rifle
TASM, Tactical Air-to-Surface Missile
tat, Tatar language (ISO 639-2 code)
TAT, Tourism Authority of Thailand
TATP, TriAcetone TriPeroxide
TATT, Tired All The Time (medical diagnosis in-joke)
Tb, Terbium
TB, Tuberculosis
TBA, to be announced
TBBPA, TetraBromoBisPhenol-A
TBC," to be confirmed, to be continued"
TBD," ""to be documented"", ""to be determined"", or ""to be decided"""
TBD, Torpedo Boat Destroyer
TBF,to be fair
TBGRI," Tropical Botanic Garden and Research Institute, India"
TBH, To Be Honest
TBL, Turkish Basketball League
TBM, Tactical Ballistic Missile - Theatre Ballistic Missile
TBS, Turner Broadcasting System
TBT, Tributyltin
Tc, Technetium
TC, Teracoulomb - Turks and Caicos (ISO 3166 digram) - United Arab Emirates (FIPS 10-4 country code; from Trucial Coast States)
TCA, Transformational Communications Architecture -  Turks and Caicos (ISO 3166 trigram)
TCAS, Traffic Collision Avoidance System
TCAA, Top Counter-Assault Agents
TCCCS,"(i/a) Tactical Command, Control and Communication System (""ticks"")"
TCD, Chad (ISO 3166 trigram)
TCG, Trusted Computing Group - Türkiye Cumhuriyeti Gemisi
TCHD, Truck Cargo Heavy Duty
TCL, Tool Command Language
TCM, Turner Classic Movies
TCP, Traffic Control Point - Transmission Control Protocol - Trichlorophenol
TCU, Texas Christian University
TCWMS, Tele-Center Workforce Management System
TCW, Tasty Coma Wife
TDA,The Disney Afternoon
TDL, Tactical Data Link
TDM, Time-Division Multiplexing
TDMA, Time Division Multiple Access
TDP, Technology Demonstration Programme
TDRS, Tracking Data and Relay Satellite
te, Telugu language (ISO 639-1 code)
Te, Tellurium
TE, Tactical Exploitation -  Testosterone to Epitestosterone ratio -  Tight end (American football; position generally not used in modern Canadian football)
TEAL, Tasman Empire Airways Limited
Team, Together everyone achieves more
TEAMS, The East African Marine System (fiber optic cable)
TED, Technology Entertainment Design prize
TEETH," Tried Everything Else, Try Homeopathy (medical diagnosis in-joke)"
tel, Telugu language (ISO 639-2 code)
TEL,"(a/i) Transporter, Erector and Launcher"
TELAR," Transporter, Erector, Launcher And Radar"
TEMO," Training, Exercise, and Military Operations"
TENCAP, Tactical Exploitation of National Capabilities
TERS, Tactical Event Reporting System
TES, Tactical Event System
TEST, Thesaurus of Engineering and Scientific Terms
TEU, Twenty-foot equivalent unit (cargo capacity)
TeVeS, Tensor Vector Scalar theory
TFMPP, Trifluorophenylmethylpiperazine
TFR, Total Fertility Rate
TFT, Thin-Film Transistor
tg, Tajik language (ISO 639-1 code)
Tg, Teragram
TG, Togo (ISO 3166 digram)
TGA," Tonga (IOC and FIFA trigram, but not ISO 3166)"
TGB," Tres grande bibliothèque (French, ""Very Large Library""), a sarcastic nickname for the Bibliothèque nationale de France"
TGIF," Thank God It's Friday, Toes Go In First"
tgk, Tajik language (ISO 639-2 code)
tgl, Tagalog language (ISO 639-2 code)
TGO, Togo (ISO 3166 trigram)
"TGT- Target (also the ticker symbol for Target Corporation), Ticket Granting Ticket (computer security), Tyrese, Ginuwine, Tank",see TGT (group) for their collaboration
"TGV- Tanjong Golden Village (Malaysian cinema chain), Tanora malaGasy Vonona (Malagasy, ""Young Malagasies Determined""","political party), Test Generation with Verification,Train à grande vitesse (French for ""High-Speed Train""),TH[edit]"
th, Thai language (ISO 639-1 code)
Th, Thorium
TH, Terahenry - Thailand (ISO 3166 and FIPS 10-4 country code digram)
tha, Thai language (ISO 639-2 code)
THA, Thailand (ISO 3166 trigram)
THAAD,(a/i) Terminal High Altitude Area Defence
THB, Thai baht (ISO 4217 currency code)
THEGENTRY, The High-End Group of Earth's New Technologies Research Yield
THEL, Tactical High Energy Laser ACTD
THG, Tetrahydrogestrinone
ti, Tigrinya language (ISO 639-1 code)
Ti, Tebi - Titanium
TI, Tajikistan (FIPS 10-4 country code) -  Thermal Imaging - Threat Identification - Training Instructor - Texas Instruments
TIA, Total Information Awareness initiative
TIA, Transient Ischemic Attack
TIALD, Thermal Imaging and Airborne Laser Designation
TIBS, Tactical Information Broadcast System
TIC, Troops In Contact
TID," Target Identification -  ter in die (Latin, ""three times daily"")"
TIGERS, Topologically Integrated Geographic Encoding and Referencing System
TIM, Technical Information Memorandum - Technical Interchange Meeting - Toxic Industrial Material - Telecom Italia Mobile
TIMS, Tactical Internet Management System - The Institute of Management Sciences - The International Molinological Society - Thermal Infrared Multispectral Scanner - Thermal Ionization Mass Spectrometry - Travel Information Management Services - Tuberculosis Information Management System
TINC, There Is No Cabal
TINY,"That Is, Not You (internet slang)"
TIP, Thermal Identification Panel
tir, Tigrinya language (ISO 639-2 code)
tits,Toes in the Sand
TJ, Tajikistan (ISO 3166 digram) - Terajoule
TJD, Truncated Julian Day
TJK, Tajikistan (ISO 3166 trigram)
TJS, Tajik somoni (ISO 4217 currency code)
tk, Turkmen language (ISO 639-1 code)
TK, Terakelvin - Tokelau (ISO 3166 digram)
TKBL," Türkiye 1. Kadınlar Basketbol Ligi, the Turkish-language name of the Turkish Women's Basketball League"
TKL, Tokelau (ISO 3166 trigram)
TKM, Turkmenistan (ISO 3166 trigram)
tl, Tagalog language (ISO 639-1 code)
Tl, Thallium
TLPM,T1 Line Performance Monitor
"TL- Team Leader, Teralitre,Timor-Leste (ISO 3166 digram), ThermoLuminescence,TL;DR ",Too long; didn’t read.
TLATOJL,The Life and Times of Juniper Lee
TLA, Three-Letter Abbreviation/Acronym
TLAM, Tomahawk Land Attack Missile
"TMA- Terminal Manoeuvring Area (restricted flying zone),Texas Medical Association,Tristeza y muerte de agave (Spanish, ""wilting and death of agave"")","a disease affecting the blue agave, from which the popular spirit tequila is produced"
TMAP,(a/i) Texas Medication Algorithm Project
TMC, The Movie Channel
TMD, Theatre Missile Defence
TMDK, The Mighty Don't Kneel (Australian professional wrestling stable also active in Japan)
TMI, Too Much Information
TMJ, TemporoMandibular Joint (syndrome)
TMM, Turkmen manat (ISO 4217 currency code)
TMNT, Teenage Mutant Ninja Turtles
TMPG, Transparent Multi-Platform Gateway
TMR, Twin Main Rotors (helicopter type)
TMS, Transcranial Magnetic Stimulation
TMT, Thirty Meter Telescope
TMTOWTDI, There's  Than One Way To Do It (from Perl)
TMZ," Thirty-Mile Zone, an area in and around Los Angeles considered ""local"" under entertainment industry union work rules"
tn, Tswana language (ISO 639-1 code)
TNA, Total Nonstop Action Wrestling
TND, Tunisian dinar (ISO 4217 currency code)
TNO, Trans-Neptunian Object
to, Tongan language (ISO 639-1 code)
TOBS, Time of OBServation
"TOC-(a/i) Table Of Contents,Tactical Operations Centre, Temporo-Occipital transition Cortex,Top of Concrete,To-do", To-do-List
TOG," Togo (IOC and FIFA trigram, but not ISO 3166)"
TOGS, Thermal Observation Gunnery Sight
TOMS, Total Ozone Mapping Spectrometer (satellite instrument)
ton, Tongan language (ISO 639-2 code)
TON, Tonga (ISO 3166 trigram)
TOP, Tongan pa'anga (ISO 4217 currency code)
TOT, Time On Target
TOW," Tube-launched, Optically tracked, Wire-guided (anti-tank missile)"
TPE, Chinese Taipei (IOC and FIFA trigram for the country also known as Taiwan)
TPI, The point is
TPO, Thrombopoietin
TPS, The Pennington School
TPTB, The Powers That Be (often used to refer to the people responsible for the content of TV series or movies)
TQ, Top Qualifier (similar to Pole Position in car racing)
tr, Turkish language (ISO 639-1 code)
TR, Turkey (ISO 3166 digram)
TRA, Technology iness Assessment
TRAC, (U.S. Army) TRADOC Analysis Center
TRACON, Terminal Radar Approach Control
TRADOC, (U.S. Army) Training and Doctrine Command
TRAIN," Tourist Railway Association, Inc."
TRANSCOM, U.S. Transportation Command
TRAP, Tactical Receive equipment and related Applications
TRASANA, TRADOC Systems Analysis Agency
TRD, Towed Radar Decoy
TRIGAT, Third Generation Antitank (missile)
TRL, Technology readiness level
Trp, Troop
TRP, Target Reference Point -  Time of Reporting
TRU, Transuranic
TRUEX, Training in Urban Environment Exercise
TRW, Thompson Ramo Wooldridge Inc.
TRY, Turkish lira (ISO 4217 currency code)
ts, Tsonga language (ISO 639-1 code)
Ts, Terasecond
TSCA," Toxic Substances Control Act (""tosca"")"
TSEC, Transmission Security Encryption Code
